POINTS_NUMBER, CLUSTERS_NUMBER, THREADS_NUMBER, TIME
100, 50, 1, 0.08
500, 50, 1, 0.34
1000, 50, 1, 0.65
2500, 50, 1, 1.60
5000, 50, 1, 3.17
7500, 50, 1, 4.77
10000, 50, 1, 6.34
50000, 50, 1, 31.65
100, 50, 12, 0.02
500, 50, 12, 0.06
1000, 50, 12, 0.11
2500, 50, 12, 0.27
5000, 50, 12, 0.52
7500, 50, 12, 0.77
10000, 50, 12, 1.02
50000, 50, 12, 5.00
